Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-06-15,BR,Brazil,AMRO,37948,17412766,1129,487401
2021-06-16,BR,Brazil,AMRO,39846,17452612,827,488228
2021-06-17,BR,Brazil,AMRO,80609,17533221,2468,490696
2021-06-18,BR,Brazil,AMRO,95367,17628588,2997,493693
2021-06-19,BR,Brazil,AMRO,74042,17702630,2311,496004
2021-06-20,BR,Brazil,AMRO,98832,17801462,2495,498499
2021-06-21,BR,Brazil,AMRO,82288,17883750,2301,500800
2021-06-22,BR,Brazil,AMRO,44178,17927928,1025,501825
2021-06-23,BR,Brazil,AMRO,38903,17966831,761,502586
2021-06-24,BR,Brazil,AMRO,87822,18054653,2131,504717
2021-06-25,BR,Brazil,AMRO,115228,18169881,2392,507109
2021-06-26,BR,Brazil,AMRO,73602,18243483,2032,509141
2021-06-27,BR,Brazil,AMRO,79277,18322760,2001,511142
2021-06-28,BR,Brazil,AMRO,64134,18386894,1593,512735
2021-06-29,BR,Brazil,AMRO,33704,18420598,739,513474
2021-06-30,BR,Brazil,AMRO,27804,18448402,618,514092
2021-07-01,BR,Brazil,AMRO,64903,18513305,1893,515985
2021-07-02,BR,Brazil,AMRO,43836,18557141,2081,518066
2021-07-03,BR,Brazil,AMRO,65163,18622304,2029,520095
2021-07-04,BR,Brazil,AMRO,65165,18687469,1857,521952
2021-07-05,BR,Brazil,AMRO,54556,18742025,1635,523587
2021-07-06,BR,Brazil,AMRO,27783,18769808,830,524417
2021-07-07,BR,Brazil,AMRO,22703,18792511,695,525112
2021-07-08,BR,Brazil,AMRO,62504,18855015,1780,526892
2021-07-09,BR,Brazil,AMRO,54022,18909037,1648,528540
2021-07-10,BR,Brazil,AMRO,53725,18962762,1639,530179
2021-07-11,BR,Brazil,AMRO,57737,19020499,1509,531688
2021-07-12,BR,Brazil,AMRO,48504,19069003,1205,532893
2021-07-13,BR,Brazil,AMRO,20937,19089940,595,533488
2021-07-14,BR,Brazil,AMRO,17031,19106971,745,534233
2021-07-15,BR,Brazil,AMRO,45022,19151993,1605,535838
2021-07-16,BR,Brazil,AMRO,57736,19209729,1556,537394
2021-07-17,BR,Brazil,AMRO,52789,19262518,1548,538942
2021-07-18,BR,Brazil,AMRO,45591,19308109,1456,540398
2021-07-19,BR,Brazil,AMRO,34339,19342448,868,541266
2021-07-20,BR,Brazil,AMRO,34126,19376574,948,542214
2021-07-21,BR,Brazil,AMRO,15271,19391845,542,542756
2021-07-22,BR,Brazil,AMRO,27592,19419437,1424,544180
2021-07-23,BR,Brazil,AMRO,54517,19473954,1424,545604
2021-07-24,BR,Brazil,AMRO,49757,19523711,1412,547016
2021-07-25,BR,Brazil,AMRO,108732,19632443,1324,548340
2021-07-26,BR,Brazil,AMRO,38091,19670534,1108,549448
2021-07-27,BR,Brazil,AMRO,18129,19688663,476,549924
2021-07-28,BR,Brazil,AMRO,18999,19707662,578,550502
2021-07-29,BR,Brazil,AMRO,41411,19749073,1333,551835
2021-07-30,BR,Brazil,AMRO,48013,19797086,1344,553179
2021-07-31,BR,Brazil,AMRO,42283,19839369,1318,554497
2021-08-01,BR,Brazil,AMRO,40904,19880273,963,555460
2021-08-02,BR,Brazil,AMRO,37582,19917855,910,556370
2021-08-03,BR,Brazil,AMRO,20503,19938358,464,556834
2021-08-04,BR,Brazil,AMRO,15143,19953501,389,557223
2021-08-05,BR,Brazil,AMRO,32316,19985817,1209,558432
2021-08-06,BR,Brazil,AMRO,40716,20026533,1175,559607
2021-08-07,BR,Brazil,AMRO,40054,20066587,1099,560706
2021-08-08,BR,Brazil,AMRO,42159,20108746,1056,561762
2021-08-09,BR,Brazil,AMRO,43033,20151779,990,562752
2021-08-10,BR,Brazil,AMRO,13893,20165672,399,563151
2021-08-11,BR,Brazil,AMRO,12085,20177757,411,563562
2021-08-12,BR,Brazil,AMRO,34885,20212642,1211,564773
2021-08-13,BR,Brazil,AMRO,32443,20245085,975,565748
2021-08-14,BR,Brazil,AMRO,39982,20285067,1148,566896
2021-08-15,BR,Brazil,AMRO,33933,20319000,966,567862
2021-08-16,BR,Brazil,AMRO,31142,20350142,926,568788
2021-08-17,BR,Brazil,AMRO,13957,20364099,270,569058
2021-08-18,BR,Brazil,AMRO,14471,20378570,434,569492
2021-08-19,BR,Brazil,AMRO,37613,20416183,1106,570598
2021-08-20,BR,Brazil,AMRO,41714,20457897,1064,571662
2021-08-21,BR,Brazil,AMRO,36315,20494212,979,572641
2021-08-22,BR,Brazil,AMRO,33887,20528099,870,573511
2021-08-23,BR,Brazil,AMRO,28388,20556487,698,574209
2021-08-24,BR,Brazil,AMRO,14404,20570891,318,574527
2021-08-25,BR,Brazil,AMRO,13103,20583994,321,574848
2021-08-26,BR,Brazil,AMRO,30872,20614866,894,575742
2021-08-27,BR,Brazil,AMRO,30671,20645537,903,576645
2021-08-28,BR,Brazil,AMRO,31024,20676561,920,577565
2021-08-29,BR,Brazil,AMRO,27345,20703906,761,578326
2021-08-30,BR,Brazil,AMRO,24699,20728605,684,579010
2021-08-31,BR,Brazil,AMRO,13210,20741815,298,579308
2021-09-01,BR,Brazil,AMRO,10466,20752281,266,579574
2021-09-02,BR,Brazil,AMRO,24589,20776870,839,580413
2021-09-03,BR,Brazil,AMRO,27345,20804215,737,581150
2021-09-04,BR,Brazil,AMRO,26280,20830495,764,581914
2021-09-05,BR,Brazil,AMRO,25565,20856060,756,582670
2021-09-06,BR,Brazil,AMRO,21804,20877864,692,583362
2021-09-07,BR,Brazil,AMRO,12915,20890779,266,583628
2021-09-08,BR,Brazil,AMRO,9154,20899933,182,583810
2021-09-09,BR,Brazil,AMRO,13645,20913578,361,584171
2021-09-10,BR,Brazil,AMRO,14430,20928008,250,584421
2021-09-11,BR,Brazil,AMRO,30891,20958899,753,585174
2021-09-12,BR,Brazil,AMRO,15951,20974850,672,585846
2021-09-13,BR,Brazil,AMRO,14314,20989164,712,586558
2021-09-14,BR,Brazil,AMRO,10615,20999779,293,586851
2021-09-15,BR,Brazil,AMRO,6645,21006424,215,587066
2021-09-16,BR,Brazil,AMRO,13406,21019830,731,587797
2021-09-17,BR,Brazil,AMRO,14780,21034610,800,588597
2021-09-18,BR,Brazil,AMRO,34407,21069017,643,589240
2021-09-19,BR,Brazil,AMRO,11202,21080219,333,589573
2021-09-20,BR,Brazil,AMRO,150106,21230325,935,590508
2021-09-21,BR,Brazil,AMRO,9458,21239783,244,590752
2021-09-22,BR,Brazil,AMRO,7884,21247667,203,590955
2021-09-23,BR,Brazil,AMRO,-573,21247094,485,591440
2021-09-24,BR,Brazil,AMRO,36473,21283567,876,592316
2021-09-25,BR,Brazil,AMRO,24611,21308178,648,592964
2021-09-26,BR,Brazil,AMRO,19438,21327616,699,593663
2021-09-27,BR,Brazil,AMRO,15688,21343304,537,594200
2021-09-28,BR,Brazil,AMRO,8668,21351972,243,594443
2021-09-29,BR,Brazil,AMRO,14423,21366395,210,594653
2021-09-30,BR,Brazil,AMRO,15395,21381790,793,595446
2021-10-01,BR,Brazil,AMRO,17756,21399546,676,596122
2021-10-02,BR,Brazil,AMRO,27527,21427073,627,596749
2021-10-03,BR,Brazil,AMRO,18578,21445651,476,597225
2021-10-04,BR,Brazil,AMRO,13466,21459117,498,597723
2021-10-05,BR,Brazil,AMRO,9004,21468121,225,597948
2021-10-06,BR,Brazil,AMRO,10425,21478546,204,598152
2021-10-07,BR,Brazil,AMRO,20528,21499074,677,598829
2021-10-08,BR,Brazil,AMRO,17893,21516967,530,599359
2021-10-09,BR,Brazil,AMRO,15591,21532558,451,599810
2021-10-10,BR,Brazil,AMRO,18172,21550730,615,600425
2021-10-11,BR,Brazil,AMRO,16451,21567181,404,600829
2021-10-12,BR,Brazil,AMRO,8639,21575820,182,601011
