Country,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Moldova,380793,147658,148716,149634,155346,150727,153777,155543,166604,154971,159242,162450,178538,159556,164480,169383,189818,164330,169485,176261,200718
Monaco,4596,1452,1464,1474,1538,1487,1521,1540,1664,1534,1582,1617,1797,1585,1640,1695,1923,1638,1696,1771,2044
Mongolia,398982,78310,79384,80316,86119,81427,84525,86319,97556,85738,90077,93335,109679,90396,95398,100379,121138,95245,100482,107366,132210
Montenegro,165123,57932,58393,58794,61286,59271,60601,61372,66197,61122,62985,64385,71403,63122,65270,67409,76324,65205,67454,70410,81079
Morocco,968886,380299,383159,385640,401087,388597,396846,401621,431533,400073,411624,420298,463804,412473,425789,439048,494308,425381,439322,457647,523782
Mozambique,163887,52505,52991,53412,56034,53914,55314,56125,61202,55862,57822,59295,66679,57967,60227,62477,71857,60158,62524,65634,76860
Myanmar,542618,151907,153389,154675,162679,156207,160481,162955,178454,162153,168139,172633,195176,168579,175478,182349,210982,175267,182491,191986,226254
Namibia,140602,45540,45961,46326,48600,46762,47976,48679,53081,48451,50151,51427,57831,50276,52236,54187,62320,52176,54227,56925,66658
Nepal,840960,315723,318327,320586,334649,323278,330788,335136,362368,333726,344243,352140,391749,345016,357139,369210,419520,356768,369460,386143,446354
Netherlands,3106182,934103,941617,948137,988721,955905,977577,990124,1068712,986056,1016406,1039195,1153501,1018636,1053622,1088457,1233645,1052551,1089179,1137325,1311085
New Zealand,12589,2488,2511,2530,2651,2553,2618,2656,2890,2643,2734,2802,3144,2741,2845,2949,3383,2842,2951,3095,3614
Nicaragua,13816,5115,5149,5178,5358,5212,5309,5365,5715,5346,5482,5583,6092,5492,5647,5803,6449,5643,5806,6020,6794
Niger,7417,3239,3260,3278,3390,3299,3359,3394,3612,3383,3467,3530,3847,3473,3570,3667,4069,3567,3669,3802,4283
Nigeria,231276,103705,104371,104948,108540,105635,107554,108664,115620,108304,110991,113008,123126,111188,114285,117368,130220,114190,117432,121694,137074
North Macedonia,226739,87049,87707,88278,91834,88959,90858,91957,98843,91601,94260,96257,106272,94455,97521,100573,113294,97427,100636,104854,120079
Norway,353355,80095,80809,81429,85288,82168,84229,85422,92895,85035,87921,90088,100958,88133,91460,94773,108579,91358,94841,99419,115943
"Occupied Palestinian territory, including east Jerusalem",475804,184369,185816,187072,194891,188569,192744,195161,210302,194378,200225,204615,226637,200654,207394,214106,242077,207188,214245,223520,256996
Oman,308871,145562,146502,147318,152394,148289,151000,152570,162400,152061,155857,158708,173006,156136,160513,164870,183031,160379,164960,170983,192718
Pakistan,1311626,568599,572371,575644,596017,579544,590423,596722,636173,594680,609915,621355,678737,611035,628598,646085,718970,628060,646447,670617,757845
Panama,491117,233953,235505,236852,245237,238457,242935,245527,261763,244687,250957,255665,279280,251417,258645,265842,295837,258424,265991,275938,311836
Papua New Guinea,37132,8212,8305,8386,8890,8483,8751,8907,9882,8856,9233,9516,10933,9261,9694,10127,11927,9681,10135,10733,12888
Paraguay,471816,185415,187007,188389,196989,190035,194628,197287,213941,196425,202856,207686,231910,203329,210743,218126,248894,210516,218278,228482,265305
Peru,2303702,1134289,1141351,1147478,1185619,1154779,1175146,1186938,1260796,1183115,1211638,1233055,1340482,1213734,1246614,1279353,1415802,1245607,1280031,1325279,1488581
Philippines,2906413,868897,876853,883756,926724,891980,914926,928210,1011415,923903,956036,980164,1101186,958398,995439,1032321,1186039,994305,1033085,1084059,1268029
Poland,4166518,1444102,1455530,1465446,1527170,1477260,1510221,1529303,1648826,1523117,1569275,1603934,1777780,1572667,1625876,1678857,1899669,1624247,1679954,1753178,2017447
Portugal,1270909,502502,506277,509553,529942,513455,524343,530646,570129,528603,543850,555299,612726,544971,562548,580049,652990,562009,580411,604599,691895
Qatar,250614,141746,142454,143068,146892,143800,145842,147024,154428,146641,149500,151647,162416,149710,153006,156288,169966,152905,156356,160892,177262
Reunion,72552,18401,18578,18732,19690,18916,19427,19723,21578,19627,20344,20882,23579,20396,21222,22044,25471,21197,22061,23198,27299
Romania,1836557,633709,638609,642861,669329,647927,662061,670243,721496,667591,687384,702246,776792,688838,711655,734373,829059,710956,734843,766242,879562
Russian Federation,10541840,3502437,3528393,3550915,3691105,3577748,3652610,3695951,3967420,3681901,3786738,3865457,4260309,3794443,3915294,4035627,4537150,3911594,4038119,4204430,4804655
Rwanda,104145,28765,29072,29338,30996,29656,30541,31054,34264,30887,32127,33058,37728,32218,33648,35071,41002,33604,35100,37067,44166
Saint Barthelemy,1721,591,596,601,630,606,622,631,688,628,650,667,750,652,677,703,808,677,703,738,864
Saint Lucia,13517,3443,3480,3512,3713,3551,3658,3720,4108,3700,3850,3962,4527,3861,4033,4205,4922,4028,4209,4447,5305
Saint Martin,4155,1406,1418,1428,1492,1440,1475,1495,1619,1488,1536,1572,1753,1540,1595,1650,1880,1594,1652,1728,2003
Saint Vincent and the Grenadines,5925,1355,1369,1382,1459,1396,1438,1461,1611,1454,1511,1555,1772,1516,1582,1648,1924,1580,1650,1741,2071
San Marino,7627,2835,2855,2871,2976,2891,2947,2979,3182,2969,3047,3106,3400,3053,3143,3233,3606,3140,3234,3358,3806
Saudi Arabia,557137,326263,327878,329280,338008,330951,335611,338309,355209,337435,343961,348861,373442,344441,351964,359455,390676,351733,359610,369963,407328
Senegal,75347,30235,30458,30653,31861,30884,31529,31903,34244,31782,32686,33365,36770,32752,33795,34832,39157,33763,34854,36288,41464
Serbia,1316192,408044,411534,414563,433418,418172,428240,434069,470579,432180,446279,456866,509970,447316,463569,479752,547203,463071,480088,502455,583179
Sierra Leone,6615,3192,3211,3228,3332,3248,3303,3335,3537,3325,3403,3461,3754,3408,3498,3587,3959,3495,3589,3713,4158
Singapore,277968,67972,68504,68965,71834,69514,71046,71934,77491,71646,73792,75404,83487,73950,76424,78887,89154,76348,78938,82343,94630
Sint Maarten,4785,1689,1702,1715,1779,1731,1777,1800,1950,1785,1855,1896,2119,1844,1930,1991,2281,1905,2001,2084,2432
Slovakia,834860,219778,221702,223461,232522,225704,232197,235476,256411,233331,243176,248837,280226,241544,253733,262183,302992,250114,263683,275255,324207
Slovenia,463575,141560,142776,143887,149610,145303,149405,151476,164700,150121,156340,159916,179743,155309,163009,168346,194123,160722,169293,176603,207524
Somalia,23564,8652,8719,8781,9100,8860,9088,9204,9940,9128,9474,9673,10777,9417,9845,10142,11577,9718,10195,10602,12323
South Africa,3415800,1261097,1270425,1278951,1322870,1289820,1321293,1337186,1438662,1326791,1374508,1401950,1554091,1366599,1425681,1466636,1664442,1408137,1473908,1529999,1767271
South Sudan,14084,5926,5969,6008,6209,6058,6202,6274,6739,6227,6445,6571,7268,6409,6680,6867,7773,6599,6900,7157,8244
Spain,5776289,2331193,2348246,2363833,2444126,2383703,2441243,2470300,2655821,2451295,2538533,2588702,2866851,2524073,2632089,2706963,3068597,2600014,2720257,2822805,3256592
Sri Lanka,596737,150427,152169,153761,161963,155791,161669,164637,183588,162696,171607,176732,205145,170130,181164,188812,225754,177888,190171,200646,244958
Sudan,47852,22300,22435,22558,23193,22715,23170,23400,24867,23249,23939,24336,26535,23825,24679,25271,28130,24425,25376,26187,29617
Suriname,52809,13535,13676,13806,14472,13971,14448,14690,16230,14532,15256,15673,17983,15136,16033,16655,19658,15767,16765,17617,21219
Sweden,1292285,538848,543127,547039,567188,552025,566465,573756,620313,568987,590879,603469,673270,587251,614357,633147,723898,606308,636483,662217,771075
Switzerland,1259347,410392,413547,416430,431284,420106,430750,436126,470446,432610,448748,458029,509485,446073,466056,479907,546806,460122,482366,501337,581584
Syrian Arab Republic,51049,15040,15172,15293,15915,15447,15893,16118,17556,15971,16647,17036,19191,16535,17372,17952,20755,17123,18055,18850,22212
Tajikistan,17673,10442,10496,10546,10800,10609,10791,10883,11470,10823,11099,11258,12139,11053,11395,11632,12778,11294,11675,11999,13373
Thailand,2258536,388170,394221,399752,428242,406802,427219,437530,503358,430786,461741,479543,578239,456610,494938,521505,649825,483557,526223,562610,716532
Timor-Leste,20324,4935,5000,5060,5367,5136,5356,5468,6179,5395,5729,5922,6988,5674,6088,6375,7762,5965,6426,6819,8482
Togo,27368,8651,8733,8807,9192,8903,9178,9318,10208,9227,9645,9886,11220,9576,10094,10453,12187,9940,10517,11008,13089
Trinidad and Tobago,85919,17567,17781,17929,18959,18150,18676,18998,20629,18935,19650,20245,22539,19764,20597,21499,24362,20631,21525,22764,26118
Tunisia,734987,246242,248789,250549,262784,253176,259426,263244,282627,262496,270998,278067,305331,272352,282248,292975,326995,282651,293278,308008,347869
Turkey,9442295,2993294,3021205,3040488,3174584,3069282,3137777,3179619,3392052,3171423,3264604,3342074,3640872,3279435,3387898,3505458,3878295,3392310,3508779,3670206,4107056
